uniprot nres_disp_patho nres_mobi_cons_patho
A2RRP1 -1 -1
Q6KF10 -1 -1
Q6NVY1 -1 -1
Q6Y288 -1 -1
Q69YN2 -1 -1
Q6VY07 -1 -1
Q6ICL3 -1 -1
Q68CP4 -1 -1
Q6ZVN8 -1 0
Q6IA86 -1 -1
Q6PJG6 -1 0
Q6NXG1 -1 -1
Q6NXT6 -1 -1
Q6VVB1 -1 -1
Q6NUK1 0 0
Q6KC79 -1 -1
Q6UXH8 -1 -1
Q6PI48 -1 -1
Q6UWE0 -1 0
Q6P5W5 -1 -1
Q6ZW61 -1 -1
Q13702 -1 -1
Q13724 -1 0
Q16134 -1 -1
Q14654 -1 -1
Q14643 -1 0
Q18PE1 -1 -1
Q13586 -1 0
Q13501 0 0
Q13509 -1 -1
Q13510 -1 -1
Q13461 -1 -1
Q13402 -1 -1
Q13485 3 9
Q13424 -1 -1
Q13426 1 1
Q13496 -1 -1
Q15517 0 0
Q15582 -1 -1
Q15583 -1 0
Q16854 -1 -1
Q16836 -1 -1
Q14896 -1 2
Q14831 -1 0
Q16394 -1 -1
Q15672 -1 -1
Q15125 -1 -1
Q15139 -1 -1
Q12805 -1 -1
Q12879 -1 1
Q12809 -1 3
Q13064 -1 -1
Q15437 -1 -1
Q15465 -1 0
Q15475 -1 0
Q13224 -1 -1
Q13286 -1 -1
Q13228 -1 -1
Q13253 -1 -1
Q16518 -1 -1
Q16555 -1 0
Q16595 0 0
Q16586 -1 -1
Q16572 -1 -1
Q15904 -1 -1
Q15910 5 5
Q13635 -1 -1
Q13618 -1 -1
Q13642 -1 -1
Q13608 -1 -1
Q13627 -1 4
Q13698 0 0
Q15046 -1 0
Q15067 -1 -1
Q15029 -1 -1
Q15049 -1 -1
Q13950 -1 2
Q14524 -1 3
Q15813 -1 -1
Q15800 -1 -1
Q15833 -1 -1
Q15831 -1 3
Q14117 -1 -1
Q14126 -1 0
Q16635 -1 -1
Q16650 -1 -1
Q16671 -1 -1
Q14332 -1 0
Q14938 -1 -1
Q13885 -1 -1
Q13873 -1 3
Q13315 -1 -1
Q13326 -1 -1
Q13144 -1 0
Q14CZ8 -1 -1
Q15392 -1 -1
Q14721 -1 -1
Q14738 -1 -1
P84022 3 5
P82650 -1 -1
P82930 -1 0
O43734 -1 -1
O43772 -1 -1
O43502 -1 -1
O43525 -1 1
O43548 -1 -1
O43570 -1 -1
O43586 -1 -1
O43556 -1 -1
O43511 -1 -1
O43526 -1 8
O43541 -1 -1
O43405 -1 0
O43462 -1 -1
O43292 -1 -1
O43918 -1 6
O43929 -1 -1
O43822 -1 -1
O43323 -1 -1
O43395 -1 0
O43307 -1 0
O43181 -1 -1
O43175 -1 -1
P61981 -1 -1
P61764 -1 -1
P60201 -1 -1
P61812 -1 -1
P68871 -1 -1
P60484 -1 1
P61266 -1 -1
P63261 -1 -1
P63252 -1 1
P23786 -1 -1
P23760 -1 1
P21912 -1 -1
P21953 -1 -1
P21731 -1 -1
P29033 -1 -1
P22570 -1 -1
P22557 -1 -1
P23526 -1 -1
P21817 -1 6
P23415 -1 0
P23409 -1 -1
P29371 -1 -1
P22413 -1 0
P26367 -1 4
P22033 -1 -1
P22304 -1 -1
P20823 0 0
P20839 -1 -1
P20807 -1 5
P27918 -1 0
P27986 0 0
P22735 -1 2
P28062 -1 -1
P21580 -1 0
P21583 0 0
P21549 -1 -1
P22888 -1 -1
P22830 -1 -1
P21397 -1 -1
P21359 -1 0
P21333 -1 1
P23025 3 4
P20908 -1 3
P20933 -1 -1
P25445 -1 -1
P29973 -1 -1
P29965 -1 -1
P22674 -1 -1
P22607 -1 0
P23258 -1 -1
P25054 22 41
P23942 -1 -1
P24530 -1 0
P28328 -1 -1
P28300 -1 -1
P28329 -1 0
P29400 -1 106
P27539 -1 -1
P20711 -1 -1
P23352 -1 -1
P23378 -1 1
A4D126 -1 1
P78563 -1 0
P78508 -1 -1
P78562 -1 -1
P78504 0 3
P78385 -1 -1
P78381 -1 0
P78314 -1 0
O95500 -1 -1
O95571 -1 -1
O95237 -1 -1
O95255 -1 0
O95292 1 1
O94886 -1 -1
O94830 -1 -1
O95786 -1 -1
O95672 -1 -1
O95140 -1 -1
O95461 -1 -1
O95452 -1 -1
O95427 -1 -1
O95475 -1 -1
O95453 -1 0
O95970 -1 -1
O95967 -1 -1
O95947 -1 -1
O95025 -1 -1
O95817 -1 -1
O95859 -1 -1
O95822 -1 -1
O95831 -1 0
O95342 -1 -1
O95363 -1 -1
O95389 -1 -1
O95343 -1 -1
O95394 -1 -1
O94766 -1 -1
P46100 -1 0
P48436 -1 4
P48431 -1 1
P40225 -1 0
P40238 -1 0
P48506 -1 -1
P48547 -1 -1
P48165 -1 -1
P49335 -1 -1
P47870 -1 -1
P47897 -1 -1
P42345 -1 0
P48735 -1 -1
P48728 -1 -1
P48740 -1 -1
P49590 -1 -1
P49585 -1 -1
P42768 1 3
P42701 -1 -1
P48048 -1 -1
P48029 -1 -1
P48637 -1 -1
P48651 -1 -1
P49768 0 0
P49770 -1 -1
P49747 -1 -1
P46019 -1 -1
P41181 -1 -1
P41180 -1 0
P41159 -1 -1
P46777 -1 0
P42898 -1 1
P43005 -1 -1
P43004 -1 -1
P43007 -1 -1
P49821 -1 -1
P49848 1 1
P49815 -1 -1
P49810 -1 -1
P40926 -1 -1
P41235 -1 3
P41221 -1 -1
P41250 -1 -1
P41229 -1 2
P45452 -1 0
P49917 -1 -1
P49918 10 10
P40692 -1 15
P43246 -1 20
P43235 -1 -1
P43251 -1 -1
P43243 -1 0
P46531 0 0
P43699 -1 -1
P40337 114 86
P49675 -1 -1
P49638 -1 -1
P42224 1 1
P42263 -1 -1
P41002 -1 -1
P40763 -1 -1
P43897 -1 -1
P43320 -1 -1
P43155 -1 -1
P45381 -1 -1
P45378 -1 -1
P45379 1 3
Q9C0K1 -1 -1
Q9BVA1 -1 0
Q9BV10 -1 -1
Q9Y4W2 -1 0
Q9Y484 -1 -1
Q9Y4J8 -1 0
Q9Y4R8 -1 0
Q9Y4U1 -1 0
Q9UQ90 -1 1
Q9UQR1 -1 -1
Q9UQQ2 -1 -1
Q9UQN3 -1 0
Q99081 -1 0
Q99062 -1 -1
Q9Y3A5 -1 -1
Q9Y3Z3 -1 0
Q9Y375 -1 -1
Q9Y3A0 -1 -1
Q92535 -1 -1
Q92542 -1 -1
Q92574 -1 -1
Q9NP85 -1 -1
Q9NPF4 -1 -1
Q9NPL8 -1 -1
Q9NPJ1 -1 -1
Q9NPH0 -1 -1
Q9NP59 -1 -1
Q969N2 -1 -1
Q969Y2 -1 -1
Q969G3 -1 -1
Q96T60 -1 0
Q96H96 -1 -1
Q9UBK8 -1 -1
Q9UBV7 -1 0
Q9UBY8 -1 -1
Q9UBH0 -1 -1
Q9UBM7 -1 -1
Q9UBQ7 -1 -1
Q9UBX1 -1 -1
Q9UBP0 -1 1
Q9UBF9 -1 1
Q9UBX5 -1 -1
Q9GZV9 -1 3
Q9GZU5 -1 -1
Q9GZT5 -1 -1
Q9GZZ9 -1 -1
Q9GZR5 -1 -1
Q9GZU1 -1 0
Q9GZX3 -1 -1
Q9GZX7 -1 -1
Q9BX79 -1 -1
Q9BXC9 -1 -1
Q9BXM7 -1 -1
Q96MG7 -1 -1
Q96M63 -1 -1
Q96M32 -1 -1
Q96MF2 -1 1
Q9NR23 -1 -1
Q9NRW7 -1 -1
Q9NR28 0 0
Q9NR50 -1 -1
Q9H3D4 -1 2
Q9H3J6 -1 -1
Q9H334 -1 1
Q9H3S1 -1 -1
Q9H3S4 -1 -1
Q9H3H1 -1 -1
Q9H3Z4 -1 -1
Q9NVW2 -1 1
Q9NVI7 -1 -1
Q9NVC6 -1 -1
Q9NVS9 3 3
Q9BQ52 -1 -1
Q9BQB6 -1 -1
Q9BTV4 -1 -1
Q9BT22 -1 -1
Q96CV9 -1 0
Q96C86 -1 -1
Q9H8M5 -1 1
Q9H845 -1 -1
Q9H8P0 -1 -1
Q9BZS1 -1 0
Q9BZV2 -1 -1
Q9BZD2 -1 -1
Q92481 -1 -1
Q9Y619 -1 -1
Q9Y6J6 -1 -1
Q9Y664 -1 -1
Q9Y6A1 -1 -1
Q9Y6W8 -1 -1
Q9Y672 -1 -1
Q9Y6B7 -1 -1
Q9Y606 -1 -1
Q9Y6K9 0 0
Q96PV0 -1 -1
Q96PZ2 -1 -1
Q9UMS0 -1 -1
Q9UMX9 -1 -1
Q9UM47 -1 -1
Q9Y234 -1 -1
Q9Y2D2 -1 -1
Q9Y223 -1 -1
Q9Y276 -1 -1
Q9Y2Z9 -1 -1
Q9Y215 -1 4
Q9Y259 -1 -1
Q9Y2Z4 -1 -1
Q9Y2B2 -1 -1
Q9Y2B1 -1 -1
Q9Y2Z2 -1 -1
Q96FM1 -1 -1
Q96FT9 -1 -1
Q9UPQ8 -1 -1
Q9UP52 -1 -1
Q9UPM9 -1 -1
Q9UPW6 -1 5
Q9UP83 -1 -1
Q9NTQ9 -1 -1
Q9H6L2 -1 -1
Q9H6E5 -1 0
Q9H6K4 -1 -1
Q9H9P8 -1 -1
Q9H9E3 -1 1
Q9H936 -1 -1
Q9H9S5 -1 -1
Q9H9J2 -1 -1
Q9H9Q4 -1 0
Q96GX1 -1 -1
Q9BPU9 -1 -1
Q96SW2 -1 0
Q96S52 -1 -1
Q96S42 -1 -1
Q9P2H3 -1 -1
Q9P2R7 -1 -1
Q9P2R6 -1 2
Q9P2P5 -1 1
Q96L73 -1 -1
Q9NZB8 -1 -1
Q9NZK5 -1 -1
Q9NZ94 0 0
Q99519 -1 -1
Q99593 -1 4
Q99574 -1 -1
Q9NSU2 -1 -1
Q9NSK7 -1 -1
Q92793 13 17
Q92736 -1 0
Q92796 -1 0
Q92743 -1 -1
Q96AY3 -1 -1
Q96AA3 -1 -1
Q96AJ1 -1 -1
Q96AD5 -1 -1
Q96AG3 -1 -1
Q96A29 -1 -1
Q99720 -1 -1
Q99797 -1 -1
Q99732 -1 -1
Q9UHF0 -1 0
Q9UHJ9 -1 -1
Q9UHK6 -1 -1
Q9UHN1 -1 0
Q9UHL9 -1 0
Q9UHX1 -1 1
Q9UHD9 0 0
Q96EY9 -1 -1
Q96EY8 -1 0
Q96NR3 -1 -1
Q9H799 -1 -1
Q96I59 -1 -1
Q96IV0 -1 0
Q9NX18 -1 -1
Q9NX14 -1 0
Q9UJY1 -1 0
Q9UJJ9 -1 -1
Q9H0F7 -1 -1
Q9H0U3 -1 -1
Q92834 -1 0
Q92889 -1 -1
Q9H4G0 -1 -1
Q9H4B7 -1 -1
Q9H4W6 -1 0
Q9H237 -1 -1
Q9H2U2 -1 -1
Q9H2I8 -1 -1
Q9H211 0 0
Q9BUM1 -1 -1
Q9BUK6 -1 -1
Q9BUB7 -1 -1
Q93063 -1 -1
Q93074 -1 -1
Q93099 -1 -1
Q99895 -1 -1
Q9NYY8 -1 -1
Q9HB96 -1 0
Q9HBA0 -1 -1
Q99967 1 1
Q99959 -1 0
Q92685 -1 -1
Q9UNE0 -1 -1
Q9UNP4 -1 -1
Q96BR5 -1 -1
Q96QK1 -1 -1
Q96QS3 -1 -1
Q96Q11 -1 -1
Q96JI7 -1 -1
Q96JX3 -1 -1
Q96K19 -1 -1
Q9NUQ7 -1 -1
Q9NUM4 -1 -1
Q9NUD9 -1 -1
Q99650 -1 -1
Q9Y5I7 -1 -1
Q9Y587 -1 -1
Q9Y5P6 -1 -1
Q9Y5X4 -1 -1
Q9Y5P4 -1 0
Q9Y5R6 -1 0
Q9Y5L0 -1 0
Q9Y5Q3 -1 7
Q9Y5Y5 -1 -1
Q9Y5U8 -1 -1
Q9HCC0 -1 -1
Q9HCG7 -1 -1
Q9HCN6 -1 0
Q9ULP9 -1 -1
Q9ULV1 -1 -1
Q9ULT0 -1 -1
Q9UIF7 -1 1
Q9NQC7 -1 -1
Q9NQT5 -1 -1
Q9NQ11 -1 -1
Q9NQ40 -1 -1
Q9NQ89 -1 -1
Q9NQZ6 -1 -1
Q9NWW5 -1 -1
Q9NW15 -1 -1
Q96DW6 -1 -1
Q96D71 -1 -1
Q96DP5 -1 -1
Q96D53 -1 -1
Q92902 -1 -1
Q92959 -1 -1
Q92989 -1 -1
Q9BW83 -1 -1
Q9BWX5 -1 -1
Q9BSQ5 -1 1
Q9BSI4 -1 0
Q9BSH4 -1 -1
Q9UGJ1 -1 -1
Q9UGM6 -1 -1
Q9UGJ0 -1 1
Q9UET6 -1 -1
Q9BYE0 -1 0
Q9BYJ1 -1 -1
Q9BYX4 -1 0
Q9BY32 -1 -1
Q9BY41 -1 -1
Q9BYM8 -1 0
Q9BYZ6 -1 -1
Q96RP9 -1 -1
Q96RE7 -1 0
Q96RR1 -1 -1
Q96RY7 -1 -1
Q96RK4 -1 -1
Q9HA77 -1 -1
Q9HAB3 -1 -1
Q9HAN9 0 0
Q9UKY4 -1 -1
Q9HD40 -1 -1
O00217 -1 -1
O00255 -1 7
O00292 -1 -1
O00204 0 0
O00522 -1 -1
O00469 -1 -1
O00459 -1 0
O00429 1 1
O00142 -1 -1
O00189 -1 -1
O00755 -1 -1
Q330K2 -1 -1
Q7Z3Z0 -1 -1
Q7Z333 -1 1
Q7L5A8 -1 -1
Q7L592 -1 -1
Q75V66 -1 -1
Q7LGC8 -1 -1
Q7LDG7 -1 0
Q71F56 -1 -1
Q7KZN9 -1 -1
Q7Z412 -1 -1
Q7RTP0 -1 -1
Q7Z6J9 -1 -1
Q7Z699 -1 1
Q7Z2E3 -1 1
P06132 0 0
P08473 -1 0
P04637 22 34
P04628 -1 -1
P04629 -1 1
P08F94 -1 -1
P09012 0 0
P02511 0 0
P02545 39 39
P08246 -1 -1
P08243 -1 -1
P08574 -1 -1
P08559 -1 -1
P05549 -1 0
P08123 -1 147
P08100 -1 -1
P04275 -1 -1
P06400 18 23
P06865 -1 -1
P06858 -1 -1
P02461 -1 18
P02452 -1 127
P02462 -1 44
P02458 1 1
P04839 -1 -1
P06396 -1 0
P00505 -1 -1
P00558 -1 -1
P00533 0 4
P0DP23 -1 -1
P07477 -1 -1
P00813 -1 -1
P06280 -1 -1
P08779 -1 -1
P08754 -1 -1
P07911 -1 -1
P07951 -1 -1
P07954 -1 -1
P07949 -1 -1
P08842 -1 -1
P02708 -1 -1
P02745 -1 0
P07602 -1 -1
P07686 -1 -1
P08034 -1 -1
P01137 0 0
P01130 70 338
P01112 0 0
P01116 -1 -1
P06744 -1 -1
P07202 -1 -1
P07225 -1 -1
P01589 -1 0
P05155 -1 1
P05164 -1 -1
P05186 -1 -1
P05156 -1 -1
P05106 1 1
P05166 -1 -1
P05107 0 0
P04062 -1 -1
P04070 -1 -1
P04066 -1 -1
P04049 12 15
P01344 -1 0
P01308 -1 -1
P00491 -1 -1
P00488 -1 0
P00480 -1 -1
P00451 -1 0
P00439 -1 -1
P09871 -1 -1
P00966 -1 -1
P07384 -1 -1
P07320 -1 -1
P07339 -1 -1
P07333 -1 0
P01213 -1 -1
P01241 -1 -1
P02689 -1 -1
P02671 2 2
P02649 -1 -1
P05062 -1 -1
P05067 3 3
P00387 -1 -1
P00367 -1 -1
P08397 -1 -1
P04180 -1 -1
P04198 -1 4
P04350 -1 -1
P07101 -1 -1
P07196 -1 -1
P09493 -1 0
P09467 -1 -1
P09471 -1 -1
P01008 -1 -1
P01009 -1 0
P07510 -1 -1
P00734 -1 -1
P00742 -1 -1
P00748 -1 2
P00740 -1 -1
P04792 -1 -1
Q2TAA5 -1 -1
Q2TBA0 -1 0
P31939 -1 -1
P31785 -1 -1
P36955 -1 0
P35555 -1 0
P35548 -1 -1
P35520 -1 0
P35523 -1 -1
P35579 -1 1
P35556 -1 -1
P35558 -1 -1
P35575 -1 -1
P38117 -1 -1
P35218 -1 -1
P35240 -1 -1
P35222 6 7
P36897 -1 2
P36871 -1 -1
P37837 -1 -1
P37840 1 1
P30518 -1 0
P30566 -1 -1
P30531 -1 -1
P32004 3 3
P32322 -1 -1
P38606 -1 -1
P35749 -1 -1
P35670 -1 0
P35680 -1 7
P31150 -1 -1
P31513 -1 -1
P31327 -1 -1
P30153 -1 -1
P31213 -1 -1
P31644 -1 0
P35499 -1 -1
P35475 -1 -1
P36551 -1 0
P36543 -1 -1
P36507 -1 -1
P35914 -1 -1
P35913 -1 -1
P30301 -1 -1
P38935 -1 3
P35858 -1 -1
P38398 369 376
P37173 0 0
P34949 -1 -1
P33897 -1 -1
P58418 -1 -1
P51793 -1 -1
P51787 1 0
P57727 -1 -1
P57740 -1 -1
P53597 -1 -1
P51801 -1 -1
P51843 -1 -1
P51810 -1 -1
P53420 -1 42
P54278 -1 15
P54819 -1 -1
P54802 -1 -1
P54868 -1 -1
P54886 -1 -1
P54840 -1 -1
P54845 -1 -1
P54803 -1 -1
P50542 3 3
P50548 -1 -1
P50570 -1 0
P50897 -1 -1
P57054 -1 -1
P52788 -1 -1
P52701 -1 8
P57679 -1 -1
P55789 -1 0
P55771 -1 -1
P51168 -1 -1
P51160 -1 0
P51587 5 6
P51570 -1 -1
P51531 -1 1
P55157 -1 -1
P54098 -1 0
P50402 -1 -1
P50416 -1 -1
P50148 -1 -1
P51690 -1 -1
P51608 -1 29
P51687 -1 -1
P51688 -1 -1
P51659 -1 -1
P56539 -1 -1
P56589 -1 -1
P53634 -1 -1
P55017 -1 -1
P55072 -1 12
P55075 -1 0
P54577 -1 0
P50336 -1 -1
P55895 -1 -1
P55809 -1 -1
P58335 -1 0
P58304 -1 -1
P54136 -1 -1
P56693 -1 -1
P52952 -1 -1
P50747 -1 -1
P55316 -1 -1
O14653 -1 -1
O14647 -1 -1
O15537 -1 -1
O15520 -1 0
O15528 -1 -1
O15554 -1 -1
O15541 -1 -1
O15269 -1 -1
O15270 -1 -1
O15232 -1 -1
O15259 -1 -1
O15239 -1 -1
O15266 -1 -1
O14497 -1 0
O14832 0 0
O14836 -1 1
O14896 -1 -1
O15118 -1 -1
O15121 -1 -1
O15120 -1 -1
O15160 -1 -1
O15484 -1 -1
O15020 -1 0
O14958 -1 -1
O14949 -1 -1
O15305 -1 -1
O15360 -1 -1
O15303 -1 -1
O14773 -1 -1
Q4G0J3 -1 2
Q49MI3 -1 -1
Q495M9 -1 0
